symbol	sample16_48hr_siNeg_1_S227	sample17_48hr_siNeg_2_S228	sample18_48hr_siNeg_3_S229	sample19_48hr_siFli1_1_S230	sample20_48hr_siFli1_2_S231	sample21_48hr_siFli1_3_S232
ENSG00000157600.11|TMEM164	1582	1756	1621	1406	1663	1565
ENSG00000157601.13|MX1	40	53	72	59	84	76.04
ENSG00000157613.10|CREB3L1	15	9	22	659	1017	810
ENSG00000157617.16|C2CD2	402	455	440	734	957	884
ENSG00000157625.15|TAB3	479	493	453	638	761	684
ENSG00000157637.12|SLC38A10	1942	2044	2098	2663	4119	3363
ENSG00000157653.11|C9orf43	14	25	10	27	45	31
ENSG00000157654.17|PALM2-AKAP2	192.71	224.16	241.1	275.49	373.07	310.11
ENSG00000157657.14|ZNF618	565	610	561	2082.99	2583	2194
ENSG00000157680.15|DGKI	0	0	0	10	17	14
ENSG00000157693.14|C9orf91	429	477	454	328	447	383
ENSG00000157703.15|SVOPL	0	0	1	2	0	2
ENSG00000157734.13|SNX22	218	266	219	25	24	19
ENSG00000157741.14|UBN2	1038	1047	892	1539	1741	1540
ENSG00000157764.13|BRAF	968	1100	905	1201	1413	1289
ENSG00000157765.12|SLC34A2	5	1	1	4	7	3
ENSG00000157766.16|ACAN	0	0	0	0	2	0
ENSG00000157778.8|PSMG3	655	699	651	382	558	498
ENSG00000157782.9|CABP1	7	5	3	1	7	3
ENSG00000157796.17|WDR19	757	836	707	1016	1171	1119
ENSG00000157800.17|SLC37A3	828	936	766	1676	2051	1881
ENSG00000157823.16|AP3S2	636.02	806.59	681.6	853.42	1123.18	884.37
ENSG00000157827.19|FMNL2	1927	2208	1868	1685	1971	1825
ENSG00000157833.12|GAREM2	217	237	217	95	124	107
ENSG00000157837.15|SPPL3	862	1006	856	1229	1563	1510
ENSG00000157851.16|DPYSL5	3943	4323	4124	1074	1468	1252
ENSG00000157856.10|DRC1	2	0	0	0	1	6
ENSG00000157869.14|RAB28	263	296	251	232	300	287
ENSG00000157870.14|FAM213B	897	1109	1015	425	610	528
ENSG00000157873.17|TNFRSF14	54	107	101	214	365	283
ENSG00000157881.13|PANK4	697	827	670	358	572	513
ENSG00000157884.10|CIB4	0	0	0	0	0	0
ENSG00000157890.17|MEGF11	15	17	17	5	3	5
ENSG00000157895.11|C12orf43	453	486	508	285	325	292
ENSG00000157911.9|PEX10	899	1000	900	678	881	787
ENSG00000157916.19|RER1	3480	3993	3577	3908	5361	4611
ENSG00000157927.16|RADIL	198	204	178	36	57	58
ENSG00000157933.9|SKI	2900	3111	2880	3546	5132.57	4234
ENSG00000157954.14|WIPI2	1720	1836	1723.02	2213	2983	2564
ENSG00000157965.11|SSX8	0	0	0	0	0	0
ENSG00000157978.11|LDLRAP1	668	735	710	736	1054	873
ENSG00000157985.18|AGAP1	1121	1168	1148	924	1217	1010
ENSG00000157992.12|KRTCAP3	8	11	12	9	20	12
ENSG00000157999.5|ANKRD61	8	3	7	0	1	1
ENSG00000158006.13|PAFAH2	289	370	272	355	484	435
ENSG00000158008.9|EXTL1	14	30	23	137	192	144
ENSG00000158014.14|SLC30A2	3	0	2	2	3	5
ENSG00000158019.20|BRE	494	581.36	513	704	881	826.34
ENSG00000158022.6|TRIM63	1	0	0	51	97	90
ENSG00000158023.9|WDR66	59	46	62.1	61	89	91.64
ENSG00000158042.8|MRPL17	1811	2175	1914	641	889	733
ENSG00000158050.4|DUSP2	38	41	39	91	121	99
ENSG00000158055.15|GRHL3	7	3	6	29	60	36
ENSG00000158062.20|UBXN11	570	621	591	553	729	652
ENSG00000158077.4|NLRP14	0	0	0	0	0	0
ENSG00000158079.14|PTPDC1	155	163	155	173	198	204
ENSG00000158089.14|GALNT14	208	223	199	325	426	350
ENSG00000158092.6|NCK1	454	507	473	468	590	487
ENSG00000158104.11|HPD	3	2	3	34	27	31
ENSG00000158106.13|RHPN1	300	332	349	290	478	455
ENSG00000158109.14|TPRG1L	525	675	641	1693.64	2174	1825
ENSG00000158113.12|LRRC43	7	2	3	18	22	16
ENSG00000158122.11|AAED1	132	181	109	226	259	263
ENSG00000158125.9|XDH	1	3	1	27	40	32
ENSG00000158156.7|XKR8	425	434	418	519	724.41	629
ENSG00000158158.11|CNNM4	531	609	561	389	523	413
ENSG00000158161.15|EYA3	1404.9	1625	1458	1292	1507	1371
ENSG00000158163.14|DZIP1L	268	303	324	292	338	283
ENSG00000158164.6|TMSB15A	464.56	556.53	397.59	65	92	88.32
ENSG00000158169.12|FANCC	798	874	740	368	463	407
ENSG00000158186.12|MRAS	63	71	75	165	234	193
ENSG00000158195.10|WASF2	5368.99	5946.99	5269.98	7567.97	9741.98	8175.92
ENSG00000158201.9|ABHD3	282	341	275	65	83	94
ENSG00000158220.13|ESYT3	21	14	26	11	15	14
ENSG00000158234.12|FAIM	1	3	1	4	12	8
ENSG00000158246.7|FAM46B	12	8	8	16	23	19
ENSG00000158258.16|CLSTN2	1044	1122	1015	2745	3347	2859
ENSG00000158270.11|COLEC12	41	37	36	6171.96	8144.04	7017.15
ENSG00000158286.12|RNF207	167	172	154	695	852	723
ENSG00000158290.16|CUL4B	2841	2938	2547	2826	3536	3513
ENSG00000158292.6|GPR153	304	356	304	1663	2538	1946
ENSG00000158296.13|SLC13A3	35	40	23	85	102	117
ENSG00000158301.18|GPRASP2	877.65	996.97	856.92	1319.37	1598.9	1334.39
ENSG00000158315.10|RHBDL2	3	2	1	23	14	17
ENSG00000158321.16|AUTS2	162	160	140	346	434	416
ENSG00000158352.15|SHROOM4	145	157	143	299	406	328
ENSG00000158373.8|HIST1H2BD	12	13	17	120	169	120
ENSG00000158402.18|CDC25C	705	776	671	90	87	75
ENSG00000158406.4|HIST1H4H	2	3	5	61	73	54
ENSG00000158411.11|MITD1	289	362	289	445	556	518
ENSG00000158417.10|EIF5B	6953.02	8369	6909.99	3304	4038	3800
ENSG00000158423.16|RIBC1	49	43	31	34	40	37
ENSG00000158427.14|TMSB15B	388.61	447.81	385.19	245.2	255.93	284.9
ENSG00000158428.3|CATIP	0	0	0	0	1	0
ENSG00000158435.7|CNOT11	1193	1448	1280	896	1155	1037
ENSG00000158445.9|KCNB1	3	1	3	49	101	83
ENSG00000158457.5|TSPAN33	137	161	107	76	108	85
ENSG00000158458.19|NRG2	19	16	16	34	47	41
ENSG00000158467.16|AHCYL2	704	758	713	897	1134	1027
ENSG00000158470.5|B4GALT5	2368	2687	2393.96	1781	2371.01	2076
ENSG00000158473.6|CD1D	4	5	7	27	28	32
ENSG00000158477.6|CD1A	0	0	0	0	0	0
ENSG00000158480.10|SPATA2	443	476	464	435	580	530
ENSG00000158481.12|CD1C	0	0	0	0	0	0
ENSG00000158482.10|CTD-2547E10.4	1	1.79	0	3.33	2.56	1.26
ENSG00000158483.15|FAM86C1	184.42	210.78	175.07	70.26	143.44	109.2
ENSG00000158485.10|CD1B	0	0	0	0	0	0
ENSG00000158486.13|DNAH3	0	2	0	3	0	2
ENSG00000158488.15|CD1E	1	0	0	0	0	0
ENSG00000158497.3|HMHB1	0	0	0	0	0	0
ENSG00000158516.11|CPA2	5	3	4	8	11	9
ENSG00000158517.13|NCF1	1	1	0	7	25.85	15.15
ENSG00000158525.15|CPA5	0	0	0	7	10	12
ENSG00000158526.7|TSR2	787	887	784	503	705	590
ENSG00000158528.11|PPP1R9A	7	10	10	58	42	44
ENSG00000158545.15|ZC3H18	1278	1283	1330	761	1028	995
ENSG00000158552.12|ZFAND2B	323	320	299	388	535	428
ENSG00000158553.4|POM121L2	1	0	0	0	0	1
ENSG00000158555.14|GDPD5	30	40	29	320	420	362
ENSG00000158560.14|DYNC1I1	110	104	89	47	59	37
ENSG00000158571.10|PFKFB1	4	5	5	8	7	6
ENSG00000158578.19|ALAS2	0	0	0	0	0	0
ENSG00000158604.14|TMED4	1988	2212	1839	2306	2899	2557
ENSG00000158615.8|PPP1R15B	2215	2622	2328	2538	3070	2688
ENSG00000158623.14|COPG2	1357	1440	1189	1155	1340	1199
ENSG00000158636.16|EMSY	677	835	683	624	781	686
ENSG00000158639.12|PAGE5	0	0	0	0	0	0
ENSG00000158669.11|AGPAT6	1955	2317	2122	2287	3176	2609
ENSG00000158683.7|PKD1L1	6	6	3	6	18	10
ENSG00000158691.14|ZSCAN12	5	0	2	12	19	20
ENSG00000158710.14|TAGLN2	8303	9581	8389	5338.99	7570.99	6209
ENSG00000158711.13|ELK4	2584	2835	2557	2002	2251	2081.04
ENSG00000158714.10|SLAMF8	0	0	0	1	2	2
ENSG00000158715.5|SLC45A3	146	180	145	127	116	150
ENSG00000158716.8|DUSP23	111	108	129	69	118	71
ENSG00000158717.10|RNF166	189	229	215	132	206	165
ENSG00000158731.2|OR10J6P	0	0	0	0	0	0
ENSG00000158747.14|NBL1	1937.75	2089.29	1903.42	2053	3136	2534
ENSG00000158748.3|HTR6	539	506	594	75	112	88
ENSG00000158764.6|ITLN2	0	0	0	0	0	4
ENSG00000158769.17|F11R	1572.07	1549.27	1436.61	1413.77	1658.72	1593.83
ENSG00000158773.14|USF1	970	1073	932	1263	1765	1426
ENSG00000158786.4|PLA2G2F	0	0	0	0	0	0
ENSG00000158792.15|SPATA2L	100	78	78	82	142	89
ENSG00000158793.13|NIT1	534	612	554	668	860	767
ENSG00000158796.16|DEDD	991	1151	1135	1112	1485	1251
ENSG00000158805.11|ZNF276	542	572	606	591	788	637
ENSG00000158806.13|NPM2	4	3	3	14	22	14
ENSG00000158813.17|EDA	343	363	334	126	128	143
ENSG00000158815.10|FGF17	4	1	8	22	42	51
ENSG00000158816.15|VWA5B1	0	0	2	6	7	7
ENSG00000158825.5|CDA	0	2	0	30	30	20
ENSG00000158828.7|PINK1	502	603	509	2015	2972	2416
ENSG00000158850.14|B4GALT3	1033.68	1139	1085	796	1085	903
ENSG00000158856.18|DMTN	7	9	10	12	22	16
ENSG00000158859.9|ADAMTS4	964	1034	980	541	811	634
ENSG00000158863.21|FAM160B2	1079	1116.3	1087	1710	2537	2025
ENSG00000158864.12|NDUFS2	4018	4629.14	3967	3030	4008	3290
ENSG00000158865.12|SLC5A11	1	3	0	0	2	1
ENSG00000158869.10|FCER1G	0	1	1	3	10	11
ENSG00000158874.11|APOA2	0	0	0	0	0	0
ENSG00000158882.14|TOMM40L	421	466	426	332	377	328
ENSG00000158887.15|MPZ	17	7	10	23	21	26
ENSG00000158901.11|WFDC8	0	0	0	0	0	0
ENSG00000158941.16|KIAA1967	3768.92	4349	4093.5	2766	3689	3206
ENSG00000158955.10|WNT9B	0	0	0	0	1	3
ENSG00000158966.13|CACHD1	1982	2011	1836	2686	3193	2964
ENSG00000158985.13|CDC42SE2	1246	1416	1279	572	716	595
ENSG00000158987.20|RAPGEF6	1178	1251	1146	976	1240	1045
ENSG00000159023.20|EPB41	5285	5879	5214	2238	2721	2391
ENSG00000159055.3|MIS18A	533	550	604	135	242	189
ENSG00000159063.12|ALG8	1142	1229	1006	406	555	501
ENSG00000159069.13|FBXW5	1482	1559	1586	2181	3505	2765
ENSG00000159079.18|C21orf59	1142.01	1293.86	1115.62	669.96	907.81	814.48
ENSG00000159082.17|SYNJ1	392	423	396	526	663	563
ENSG00000159086.14|PAXBP1	1744	1789	1570	1121	1318	1338
ENSG00000159110.19|IFNAR2	349.87	387.71	305.9	448.33	593.25	446.18
ENSG00000159111.12|MRPL10	919	1053	937	785	1037	880
ENSG00000159128.14|IFNGR2	896	926	805	1426	1759	1533
ENSG00000159131.16|GART	4476	5163	4346	1888	2257	1878
ENSG00000159140.19|SON	11075.13	11826	10658	11717	14837	12259.08
ENSG00000159147.17|DONSON	956	1074	921	525	655	596
ENSG00000159164.9|SV2A	2107	2337	2153	754.97	991	856
ENSG00000159166.13|LAD1	0	0	0	3	13	6
ENSG00000159167.11|STC1	647	762	705	719	887	726
ENSG00000159173.18|TNNI1	0	0	2	63	114	112
ENSG00000159176.13|CSRP1	4753	5579	5110	14354	19157.01	15822
ENSG00000159182.4|PRAC1	401	493	383	655	822	666
ENSG00000159184.7|HOXB13	6205	6625	6115	5676	7988	6703
ENSG00000159186.4|AC007383.6	0	0	0	0	0	0
ENSG00000159189.11|C1QC	0	0	0	0	0	0
ENSG00000159197.3|KCNE2	2	2	3	5	9	3
ENSG00000159199.13|ATP5G1	2082	2472	2102	501	731	589
ENSG00000159200.17|RCAN1	177	265	202	818	1051	816
ENSG00000159202.17|UBE2Z	3667	4141	3518	4681	5862	5163
ENSG00000159208.15|CIART	90	94	106	50	55	62
ENSG00000159210.9|SNF8	2129.62	2273	2112.05	1542	2037	1831
ENSG00000159212.12|CLIC6	0	0	1	0	4	2
ENSG00000159214.12|CCDC24	91	107	104	152	258	219
ENSG00000159216.18|RUNX1	1	0	2	6	18	11
ENSG00000159217.9|IGF2BP1	14298	15549	14530.83	7411	9462	7979
ENSG00000159224.4|GIP	13	5	16	0	1	0
ENSG00000159228.12|CBR1	1132	1319	1160	922	1310	1031
ENSG00000159231.5|CBR3	298	375	290	289	296	281
ENSG00000159239.13|RP11-523H20.5	0	0	0	1.39	1.46	2.93
ENSG00000159247.13|TUBBP5	2.02	1	4.33	3.3	3.13	0
ENSG00000159248.4|GJD2	0	0	0	0	0	0
ENSG00000159251.6|ACTC1	0	2	0	5	12	10
ENSG00000159256.12|MORC3	540	682	484	1148	1328.45	1224.56
ENSG00000159259.7|CHAF1B	2201	2392	2064	383	434	382
ENSG00000159261.10|CLDN14	5	7	12	0	0	0
ENSG00000159263.15|SIM2	2648	2902	2736	1983	2784	2339
ENSG00000159267.14|HLCS	601	747	618	772	1015	959
ENSG00000159289.6|GOLGA6A	0	0	1	21.35	25.86	14.54
ENSG00000159307.18|SCUBE1	3	3	5	28	58	41
ENSG00000159314.11|ARHGAP27	11	15	7	108	177	144
ENSG00000159322.17|ADPGK	1558	1797	1548	2029	2650.95	2109
ENSG00000159335.15|PTMS	5522	5809.49	5493.92	3668.93	5500.97	4655
ENSG00000159337.6|PLA2G4D	0	0	0	0	1	0
ENSG00000159339.13|PADI4	0	0	1	1	0	0
ENSG00000159346.12|ADIPOR1	2632	3072	2819	1577	2016	1840
ENSG00000159348.12|CYB5R1	445	450	394	801	1058	919
ENSG00000159352.15|PSMD4	4864.67	5658.97	4978.99	3356.36	4439.69	3801.6
ENSG00000159363.17|ATP13A2	1209	1235	1259	1496	2392	1789
ENSG00000159374.17|M1AP	0	0	0	0	1	0
ENSG00000159377.10|PSMB4	5948	6778	5856	4991	6586	5359
ENSG00000159387.7|IRX6	2	1	2	4	1	1
ENSG00000159388.5|BTG2	1246	1393	1193	3582	4615	3837
ENSG00000159398.15|CES5A	31	46	32	5	5	4
ENSG00000159399.9|HK2	1317	1356	1328	324	363	320
ENSG00000159403.15|C1R	505	510.53	485	848.69	1235.78	982
ENSG00000159409.14|CELF3	0	0	3	2	6	1
ENSG00000159423.16|ALDH4A1	1091.74	1153.58	1136	793	1094	979
ENSG00000159433.11|STARD9	1429	1578	1405	1395	1780	1486
ENSG00000159445.12|THEM4	410.97	494	475.25	682	795	743
ENSG00000159450.12|TCHH	46	57	50	7	13	10
ENSG00000159455.8|LCE2B	0	0	0	0	0	0
ENSG00000159459.11|UBR1	848	917	792	1296	1435	1380
ENSG00000159461.14|AMFR	1928	2182	1875	2685	3425	3018
ENSG00000159479.16|MED8	602	730	681	914	1179	960
ENSG00000159495.7|TGM7	0	0	0	0	0	0
ENSG00000159496.14|RGL4	0	0	0	0	0	0
ENSG00000159516.8|SPRR2G	0	0	0	0	0	0
ENSG00000159527.3|PGLYRP3	0	0	0	0	0	0
ENSG00000159556.9|ISL2	157	193	175	212	323	238
ENSG00000159579.13|RSPRY1	1063	1283	1058	1467	1887	1718
ENSG00000159588.14|CCDC17	22	26	22	49	55	33
ENSG00000159592.10|GPBP1L1	2348	2529	2186	1925	2352	2056
ENSG00000159593.14|NAE1	2325	2393	2013	947	1173	1234
ENSG00000159596.6|TMEM69	1008	1124	941	642	829	746
ENSG00000159618.15|ADGRG5	1	1	0	4	10	15
ENSG00000159625.14|DRC7	4	3	5	6	5	5
ENSG00000159640.15|ACE	4	10	5	57	91	106
ENSG00000159648.11|TEPP	22	26	23	19	27	24
ENSG00000159650.8|UROC1	0	3	3	5	2	2
ENSG00000159658.10|EFCAB14	2165	2505	2265	4718	6153.98	5400
ENSG00000159674.11|SPON2	27	15	15	110	186	135
ENSG00000159685.10|CHCHD6	222	255	226	113	194	156
ENSG00000159692.15|CTBP1	1990	2119	2082	2560.99	3817	3225
ENSG00000159708.17|LRRC36	0	0	0	1	0	3
ENSG00000159712.10|RP11-498P14.2	0	0	0	0	0	0
ENSG00000159713.10|TPPP3	15	24	25	81	150	109
ENSG00000159714.10|ZDHHC1	178	168	177	468	639	527
ENSG00000159720.11|ATP6V0D1	1331	1608	1443	2259	3203	2598
ENSG00000159723.4|AGRP	0	0	0	0	0	0
ENSG00000159733.13|ZFYVE28	31	42	32	58	95	82
ENSG00000159753.13|RP11-167P11.3	9	19	16	21	25	30
ENSG00000159761.14|C16orf86	8	14	7	13	18	25
ENSG00000159763.3|PIP	0	0	0	0	0	0
ENSG00000159784.17|FAM131B	123	112	100	168	234	191
ENSG00000159788.19|RGS12	715	762	702	752	1067	885
ENSG00000159792.9|PSKH1	719	848	791	1208	1738	1394
ENSG00000159840.15|ZYX	4075	4369	4263	9785	14386	11789
ENSG00000159842.14|ABR	2574	2754	2549	4510	6414	5244
ENSG00000159860.6|AC099548.6	0	1	0	0	1.94	0
ENSG00000159871.14|LYPD5	5	6	3	5	8	4
ENSG00000159873.9|CCDC117	1200	1273	1051	727	812	832
ENSG00000159882.12|ZNF230	149	171	128	131	151	116
ENSG00000159884.11|CCDC107	131	145	136	150	252	196
ENSG00000159885.13|ZNF222	115.44	104.41	75.58	147.33	134.78	137.79
ENSG00000159899.14|NPR2	62	52	44	160	215	183
ENSG00000159904.11|RP11-527E14.1	5.79	10.39	5.34	4.43	3.17	7.66
ENSG00000159905.14|ZNF221	85	63	77	87	119	96
ENSG00000159915.12|ZNF233	48	49	39	57	105	69
ENSG00000159917.15|ZNF235	114	130	125	131	160	144
ENSG00000159921.15|GNE	982	1075	962	613	740.75	684
ENSG00000159958.6|TNFRSF13C	168	201	183	62	83	77
ENSG00000159961.2|OR3A3	0	0	0	0	0	1
ENSG00000160007.18|ARHGAP35	3446	3648	3375	3253	4163	3606
ENSG00000160013.8|PTGIR	0	2	3	83	169	103
ENSG00000160014.16|CALM3	10452	11861.97	10776	8706	12018	10035
ENSG00000160049.11|DFFA	2826	3119	2726.99	1364	1749	1548.01
ENSG00000160050.14|CCDC28B	241	307	291	417	669	467
ENSG00000160051.11|IQCC	313	332	314	122	144	141
ENSG00000160055.19|TMEM234	172	234	223	360	506	411
ENSG00000160058.18|BSDC1	2128.66	2433	2183	3837	5302	4408
ENSG00000160062.14|ZBTB8A	268	273.73	265.92	363	411.54	375.8
ENSG00000160072.19|ATAD3B	2365.79	2563.45	2662.9	988.45	1219.85	1095.04
ENSG00000160075.11|SSU72	1523	1729	1614	2306	3181	2562
ENSG00000160087.20|UBE2J2	1607	1837	1818.95	1345	1806	1467
ENSG00000160094.14|ZNF362	927	943	978	931	1351	1156
ENSG00000160097.16|FNDC5	12	11	9	364	516	437
ENSG00000160111.12|CPAMD8	60	68.85	53.73	2024.8	3019.39	2499.24
ENSG00000160113.5|NR2F6	773	939	790	789	1206	1041
ENSG00000160117.14|ANKLE1	970.84	1006	1052	131	157	136
ENSG00000160124.9|CCDC58	355	462	367	153	174	183
ENSG00000160131.13|VMA21	2620	3054	2624.58	1215	1498	1407
ENSG00000160145.15|KALRN	773.72	790.42	720.89	1016.83	1226.46	1118.52
ENSG00000160161.9|CILP2	23	13	26	142	247	187
ENSG00000160172.10|FAM86C2P	113.9	143.16	124.8	89	132.12	97.15
ENSG00000160179.18|ABCG1	30	45	28	309	422	317
ENSG00000160180.15|TFF3	0	0	0	1	2	2
ENSG00000160181.8|TFF2	0	0	0	0	0	0
ENSG00000160182.2|TFF1	0	0	0	0	0	0
ENSG00000160183.14|TMPRSS3	0	2	0	1	0	1
ENSG00000160185.14|UBASH3A	0	0	0	2	6	0
ENSG00000160188.9|RSPH1	2	1	0	11	10	6
ENSG00000160190.13|SLC37A1	45	33	32	206	380	247
ENSG00000160191.17|PDE9A	73	98	70	64	76	67
ENSG00000160193.11|WDR4	1025	1136	1081	188	283	255
ENSG00000160194.17|NDUFV3	816	968	816	948	1190	1026
ENSG00000160199.14|PKNOX1	953.03	1081.84	889.54	929	1187	1085.02
ENSG00000160200.17|CBS	572.75	596.75	640.06	141.96	186.23	147.65
ENSG00000160201.11|U2AF1	1928.74	2078.6	2171.54	1241.87	1807.73	1849.73
ENSG00000160202.7|CRYAA	0	0	0	0	0	0
ENSG00000160207.8|HSF2BP	23	19.46	16	41	36.63	43
ENSG00000160208.12|RRP1B	3035.82	3565	3194	1417	1764	1506
ENSG00000160209.18|PDXK	1983	2355	2134	2137	3048	2441
ENSG00000160211.16|G6PD	7310	7859	7611	5202	8035	6648
ENSG00000160213.6|CSTB	1414	1588	1359	1856	2423	2048.01
ENSG00000160214.12|RRP1	1767	1894	1955	643	1018	847
ENSG00000160216.18|AGPAT3	3104	3281.3	3097	4032	5551	4755
ENSG00000160218.12|TRAPPC10	1641.87	1689.41	1511.89	1392.73	1924.08	1553.8
ENSG00000160219.11|GAB3	7	8	9	54	50	42
ENSG00000160221.17|C21orf33	75.34	86.86	87.51	114.2	150.2	70.92
ENSG00000160223.17|ICOSLG	35.31	51.73	31.24	552.58	797.21	656.28
ENSG00000160224.16|AIRE	0	0	0	12	10	2
ENSG00000160226.15|C21orf2	322.88	356.73	396.81	349	607.67	500.67
ENSG00000160229.11|ZNF66	60	62	58	30	47	38
ENSG00000160233.7|LRRC3	266	276	277	281	441	361.08
ENSG00000160255.17|ITGB2	14479	15584.98	14787	5234	8011	6163
ENSG00000160256.12|FAM207A	647	735	748	301	330	362
ENSG00000160271.15|RALGDS	2764.03	3061.58	2970	5237.43	7353.05	6149.42
ENSG00000160282.13|FTCD	12	13	20	97	139	112
ENSG00000160284.14|SPATC1L	284	338	354	275	495	363
ENSG00000160285.14|LSS	3612	3911	3640	6529	9555.15	7798
ENSG00000160293.16|VAV2	1428	1591	1461	2798	3970	3387
ENSG00000160294.10|MCM3AP	3709	4107	3829	4086	5331	4575
ENSG00000160298.17|C21orf58	750	863	853	139	178	165
ENSG00000160299.16|PCNT	2840	3218	2831	1721	2324	1821
ENSG00000160305.17|DIP2A	1067	1146	1067	1380	1861	1594
ENSG00000160307.9|S100B	1	0	0	0	4	0
ENSG00000160310.17|PRMT2	931	1119	958	2078	2789	2265
ENSG00000160318.6|CLDND2	1	1	0	2	2	4
ENSG00000160321.14|ZNF208	37	21	27	38	36	41
ENSG00000160323.18|ADAMTS13	179.99	230	157	369	490	426
ENSG00000160325.14|CACFD1	141	176	200	546	763	631
ENSG00000160326.13|SLC2A6	176	156	158	464	682	527
ENSG00000160336.14|ZNF761	840.41	918.97	866.42	755.12	848.63	849.97
ENSG00000160339.15|FCN2	0	0	0	0	0	0
ENSG00000160345.12|C9orf116	188	214	182	77	154	103
ENSG00000160349.9|LCN1	0	0	0	0	1	0
ENSG00000160352.15|ZNF714	897	859	789	394	398	384
ENSG00000160360.12|GPSM1	2431	2701	2638	3473	5305	4341
ENSG00000160392.13|C19orf47	349	354	355	226	383	295
ENSG00000160396.8|HIPK4	2	2	7	3	6	6
ENSG00000160401.14|CFAP157	2	1	2	9	10	7
ENSG00000160404.17|TOR2A	203	210	198	287	450	325
ENSG00000160408.14|ST6GALNAC6	1053.89	1193.6	1132.99	1807.3	2519.46	1897.87
ENSG00000160410.14|SHKBP1	1637	1769	1744	1098	1723	1436
ENSG00000160439.15|RDH13	454	466	493.56	362	477	427
ENSG00000160445.10|ZER1	700	707	654	1646	2359	1947
ENSG00000160446.18|ZDHHC12	459	480	468	386	628	479
ENSG00000160447.6|PKN3	1152	1160	1076	338	440	360
ENSG00000160460.15|SPTBN4	28	28	29	141	226	168
ENSG00000160469.16|BRSK1	285	269	283	263	411	335
ENSG00000160471.12|COX6B2	1	3	3	7	4	7
ENSG00000160472.4|TMEM190	0	0	0	0	1	0
ENSG00000160505.15|NLRP4	1	2	0	6	3	1
ENSG00000160539.5|PLPP7	2	3	2	5	12	7
ENSG00000160551.11|TAOK1	3912	4096	3642	3731	4446.92	4141
ENSG00000160563.13|MED27	453.95	527	556.99	463.98	535.96	459.97
ENSG00000160570.13|DEDD2	460	469	480	502	762	624
ENSG00000160584.15|SIK3	1362	1347	1304	1337	1657	1417
ENSG00000160588.9|MPZL3	10	3	13	45	55	55
ENSG00000160593.18|AMICA1	0	0	0	0	1	1
ENSG00000160602.13|NEK8	113	93	88	177	242	221.01
ENSG00000160606.10|TLCD1	66	123	69	83	117	109
ENSG00000160613.12|PCSK7	1023	1075	1055	1221.09	1771	1539.46
ENSG00000160633.12|SAFB	5205.58	5795.91	5402.56	3137.23	4197.35	3618.24
ENSG00000160654.9|CD3G	0	0	0	0	0	0
ENSG00000160678.11|S100A1	7	6	4	23	22	29
ENSG00000160679.12|CHTOP	2843	3127.01	2932	2638	3388	3115
ENSG00000160683.4|CXCR5	0	0	0	0	0	2
ENSG00000160685.13|ZBTB7B	778	881	911	1115	1702	1357
ENSG00000160688.18|FLAD1	1520	1650	1607	703	946	873
ENSG00000160691.18|SHC1	7585	8455	7837.44	10558.27	15033	12300
ENSG00000160695.14|VPS11	655	700	671	1118	1525	1252
ENSG00000160703.15|NLRX1	327	342	299	594	825	626
ENSG00000160710.15|ADAR	10206.83	11180	10069.7	13158	17052	14598.7
ENSG00000160712.12|IL6R	257	302	293	1504	2007	1748
ENSG00000160714.9|UBE2Q1	1782	2115	1774.33	2305	2985	2579
ENSG00000160716.5|CHRNB2	6	19	8	9	11	13
ENSG00000160741.16|CRTC2	1154	1245	1183	1298	1811	1577
ENSG00000160746.12|ANO10	259	335	287	358	479.23	432
ENSG00000160752.14|FDPS	5007	5785	5308.47	3174	4364	3633
ENSG00000160753.15|RUSC1	1344	1464	1437	1102	1663	1377
ENSG00000160766.14|GBAP1	146.26	158.86	150.38	173.64	261.84	195.03
ENSG00000160767.20|FAM189B	2027	2137	2126	1274	1863	1519.99
ENSG00000160781.15|PAQR6	103	119	109	378	590	472
ENSG00000160783.19|PMF1	1483.31	1607.87	1427.8	752.41	1036.28	854.32
ENSG00000160785.13|SLC25A44	1214	1417	1284	1149	1444	1286
ENSG00000160789.19|LMNA	6736	7468	7399	8878	13117	10591
ENSG00000160791.13|CCR5	0	0	0	1	2	0
ENSG00000160796.16|NBEAL2	1287	1348	1335	1248	1676	1432
ENSG00000160799.11|CCDC12	519	602	599	373	498	448
ENSG00000160801.13|PTH1R	52	56	39	114	141	152
ENSG00000160803.7|UBQLN4	2761.79	3094.66	2961.82	1684.86	2331.72	2041.19
ENSG00000160808.9|MYL3	1	3	1	2	2	12
ENSG00000160813.6|PPP1R35	311	312	251	204	254	221
ENSG00000160818.16|GPATCH4	1442	1819.04	1724	597	686	599
ENSG00000160838.13|LRRC71	0	1	0	0	0	0
ENSG00000160856.20|FCRL3	0	0	0	0	0	0
ENSG00000160862.12|AZGP1	7	2.7	8	194.62	248.93	286.89
ENSG00000160867.14|FGFR4	420	526	484	237	335	255
ENSG00000160868.14|CYP3A4	0	0	0	1	1	0
ENSG00000160870.13|CYP3A7	0	0	0	6.61	6.84	17
ENSG00000160877.5|NACC1	3021	3142	3280	1442	2289	1834
ENSG00000160882.11|CYP11B1	0	0	0	0	0	0
ENSG00000160883.10|HK3	0	0	0	1	4	3
ENSG00000160886.13|LY6K	97	112	93	227	318	265
ENSG00000160888.6|IER2	1288	1312	1351	1450	2247.95	1794
